SKU,label (US)
rayban_justin_noir_bleu,Ray-Ban Men's 0RB4165 Justin Polarized Sunglasses  Black Rubber  55mm
rayban_new_wayfarer_noir_gris_bleu_degrade,Ray-Ban RB2132 New Wayfarer Unisex Sunglasses (Black on Trasparent Frame/ Green Polarized Lens 605258  52)
rayban_boyfriend_havane_marron_classique,RayBan RB4147 color 710/57
rayban_chris_noir_gun_argent_ mirroir,Ray-Ban CHRIS - BLACK Frame GREEN MIRROR SILVER Lenses 54mm Non-Polarized
rayban_wayfarer_biColorNoirJaune_jauneFlash,Ray-Ban WAYFARER - BLACK Frame LIGHT BROWN MIRROR GOLD Lenses 50mm Non-Polarized
rayban_justin_havane_gris,Ray Ban Justin Mens Sunglasses RB4165 710/13 Rubber Havana 55mm Authentic
rayban_new_wayfarer_havane_bleu_vert_degrade,Konalla Oversized Full Metal Crossbar Flash Cat Eye Lens Sunglasses for Womens C2
rayban_boyfriend_noir_gris_clair_degrade,Ray-Ban RB4147 Sunglasses Color: Black Lens: Light Grey Gradient  Size 60mm
rayban_chris_orange_argent_rouge_ mirroir,Ray Ban Chris RB4187 63206Q (Metalic Gold Copper - Transparent Grey with Grey green with Red mirror effect lenses)
rayban_wayfarer_biColorNoirVert_vertFlash,Ray-Ban WAYFARER - BLACK Frame GREY MIRROR GREEN Lenses 50mm Non-Polarized
rayban_justin_noir_vert,Men Sport Wrap Around Sunglasses Driving Motocycle Sport Eyewear (Black/BlueGreen  71mm)
rayban_clubround_havane_vertClassique_g15,Ray-Ban CLUBROUND - RED HAVANA Frame GREEN Lenses 51mm Non-Polarized
rayban_clubmaster_havane_marronDegrade,Ray-Ban Clubmaster RB3016 - 1207M2 Polarized Sunglasses
rayban_round_doubleBridge_cuivre_gradient_flash,Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses  Gold  51 mm
rayban_andy_havane_argent_flash,Ray-Ban Mens Andy Sunglasses (RB4202) Tortoise/Blue Plastic Nylon - Polarized - 55mm
rayban_caravan_bronze_cuivre_violet_mirroir,Ray-Ban Unisex RB3136 58mm Brushed Bronze Demi Shiny
rayban_wayfarer_havane_marronClairDegrade,Ray Ban RB2140 902/51 50M Tortoise/Crystal Brown Gradient
rayban_justin_noir_grisDegrade,Ray-Ban JUSTIN - RUBBER BLACK Frame GREY GRADIENT Lenses 55mm Non-Polarized
rayban_new_wayfarer_havane_vertClassique_g15,Ray-Ban NEW WAYFARER - TORTOISE Frame CRYSTAL GREEN Lenses 52mm Non-Polarized
rayban_andy_havane_bleu_flash,Ray-Ban Unisex 0RB4202 Andy 55mm Havana/Flash Grey Polar Sunglasses
rayban_chris_noir_gris_degrade,Ray-Ban CHRIS - RUBBER BLACK Frame LIGHT GREY GRADIENT DARK GREY Lenses 54mm Non-Polarized
rayban_wayfarer_noir_grisClairDegrade,Ray-Ban RB_2140_901 Sunglasses  Black  50-22-150
rayban_justin_havane_marronDegrade,Ray-Ban JUSTIN - RUBBER BROWN ON GREY Frame GREEN GRADIENT Lenses 51mm Non-Polarized
rayban_new_wayfarer_noir_vertClassique_g15,Ray-Ban Women's New Wayfarer Square Sunglasses  Black  58 mm
rayban_caravan_or_vert_classique,Ray-Ban CARAVAN - ARISTA Frame CRYSTAL GREEN Lenses 58mm Non-Polarized
rayban_aviator_or_orangeFlash,Ray Ban Aviator Luxottica Red Orange Mirror Gold Frame Rb3025 112/69 58mm Made in Italy
rayban_clubmasterFleck_havaneNoir_vert,Ray Ban RB3016 1157 51M Spotted Black Havana/Green
rayban_round_doubleBridge_or_vert_classique_g15,Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses  Gold  51 mm
rayban_andy_noir_bleu_mirroir,Ray-Ban Men's RB4387 Round Sunglasses  Dark Tortoise/Brown  56 mm
rayban_caravan_or_vert_flash,Ray Ban RB3136 112/19 58M Matte Gold/Grey Mirror Green+FREE Complimentary Eyewear Care Kit
rayban_aviator_gun_argentFlash,Ray Ban RB3025 029/30 58M Matte Gunmetal/Green Silver Mirror Aviator
rayban_clubmaster_havaneNoir_bleuGris,Ray Ban RB3016 1158R5 51M Spotted Blue Havana/Grey
rayban_round_doubleBridge_noir_vert_classique_g15,Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses  Gold  51 mm
rayban_andy_marron_clair_vert_mirroir,Revant Replacement Lenses for Ray-Ban RB4151 59mm - Compatible with and Fits Ray-Ban RB4151 59mm Sunglasses  Polarized  Elite Fire Red MirrorShield
rayban_caravan_gun_vert_classique_2,Ray-Ban Unisex RB3136 Caravan  5515 004 Sunglasses  Gunmetal White/Green G-15xlt  55 mm
rayban_aviator_cuivre_bleuMirroir,Ray-Ban Original RB3025 112/17 Aviator Non-Polarized Sunglasses  Matte Gold Frame/ Blue Mirror Lens  (Small 55mm)
rayban_clubmaster_noir_grisDegrade,Ray Ban Clubmaster Classic RB3016 W0365-49-21 Sunglasses Black Frame Crystal Green Solid Lenses
rayban_round_doubleBridge_noir_bleu_gris_classique,Ray-Ban 0rb3647n Non-Polarized Iridium Round Sunglasses  Gold  51 mm
rayban_andy_marron_marron_degrade,New Ray Ban Andy RB4202 607313 Brown/ Brown Gradient 55mm Sunglasses
rayban_caravan_argent_argent_flash,Ray-Ban RB3364 Rectangular Metal Sunglasses  Black/Polarized Green  62 mm
rayban_andy_havane_orange_flash,Ray-Ban Mens Andy Sunglasses (RB4202) Tortoise/Orange Plastic - Polarized - 55mm
rayban_chris_havane_marron_degrade,NEW Ray-Ban Sunglasses RB 4187 Havana 856/13 RB4187 54mm
rayban_boyfriend_noir_vert_classique,Ray-Ban Sunglasses (RB4147) Black/Green Plastic - Polarized - 56mm
rayban_chris_bleu_bleu_clair_degrade,Ray-Ban RB4184 Square Sunglasses  Black/Polarized Green  54 mm
rayban_round_noir_bleuClairDegrade,Ray-Ban Round Metal Sunglasses RB3447 006/3F-50 - Matte Black Frame  Crystal Gradient Light Blue
rayban_erika_noir_grisDegrade,Ray Ban Erika Women's Wayfarer Sunglasses Rubber Havana 54mm
rayban_clubround_blanc_vert_mirroir,Ray-Ban RB4246 Clubround Sunglasses Top Wrinkled White On White w/Green Mirror Lens 9882X RB 4246
rayban_boyfriend_noir_gris_degrade,Ray-Ban RB4147 - TOP BLACK ON BROWN Frame BROWN GRADIENT DARK BROWN Lenses 60mm Non-Polarized
rayban_chris_violet_gun_gris_degrade,Ray Ban RB4198 Sunglasses-604671 Opal Violet (Gray Gradient Lens)-55mm
rayban_round_cuivre_vertDegrade,Ray-Ban  Round  RB3447
rayban_aviator_gun_gris,Ray-Ban AVIATOR LARGE METAL (RB 3025 004/78 58  Gunmetal Frame/Gray Polarized Lens )
rayban_clubmaster_noir_vert,RayBan RB3016 W0365 
rayban_erika_or_marronDegrade,Ray-Ban Erika Metal Sunglasses (RB3539) Gold Matte/Brown Metal  - Polarized -  54mm
rayban_ferrari_gris_noir_gris_mirror_chromance,Rayban Ferrari Black Grey 
rayban_cockpit_noir_orange_gradient_flash,Ray Ban RB3362 002/4W 56M Shiny Black/Orange Gradient Flash
rayban_erika_havaneGun_marronDegrade_1,New Ray Ban RB4171 710/T5 Tortoise/Brown Gradient 54mm Polarized Sunglasses
rayban_ferrari_noir_vert_classique,Rayban Ferrari Black Green
rayban_cockpit_marron_clair_degrade,Ray-Ban COCKPIT - MATTE GOLD Frame GREY MIRROR BLUE Lenses 56mm Non-Polarized
rayban_aviator_or_marron,Ray Ban RB3025 001/33 62M Gold/ Brown Aviator + FREE Complimentary Eyewear Care Kit
rayban_round_cuivre_bleuMarronDegrade,Ray-Ban RB 3447
rayban_erika_havaneGun_vert,Ray-Ban RB4171 ERICA Unisex Aviator Sunglasses (Light Havana Frame  Green Lens 710/71)
rayban_ferrari_noir_argent_mirror_chromance,Rayban Ferrari Black Silver
rayban_cockpit_gun_vert_classique,Ray-Ban Men's Sunglasses RB 3362 Cockpit RB3362 004/58
rayban_aviator_noir_vert,Ray-Ban RB 3025 L2823 58 Unisex Aviator Large Black Metal Green G-15 Lens Sunglass
rayban_round_or_vertFlash,Ray Ban RB3447 112/P9 50M Matte Gold/Green Mirror Polarized
rayban_erika_noir_violetMirroir,Ray Ban RB4171 601/5Q 54M Black/Polarized Purple+FREE Complimentary Eyewear Care Kit
rayban_ferrari_blue_bleu_mirror_chromance,Rayban Ferrari Bleu
rayban_cockpit_noir_vert_gradient_flash,Ray-Ban COCKPIT - SHINY BLACK Frame ? Lenses 56mm
rayban_aviator_or_rose,Ray-Ban RB3025 001/3E Gold Frame / Brown-Pink Silver Flash Lens 58mm
rayban_round_or_orangeFlash,New Authentic Ray-Ban RB 3447 112/Z2 50mm Round Matte Gold / Brown Mirror Pink
rayban_erika_noir_vert,Ray Ban RB4171 601/2P 54M Black/Polarized Green+FREE Complimentary Eyewear Care Kit
rayban_ferrari_noir_or_mirror_chromance,Rayban Ferrari Black Gold
rayban_cockpit_noir_bleu_gradient_flash,Ray Ban RB3362 002/4O 59M Shiny Black/Blue Gradient Flash
rayban_round_gun_grisDegrade,Ray-Ban RB3447
carrera_118S_black,Carrera 118/S Black/Grey GTN/P9 
carrera_118S_black_gold_gray,Carrera 118/S Black Gold Grey 118/S REW DX
carrera_118S_havane_blue,Carrera 118/S Havana Blue T6L/8F
carrera_118S_blue_gray_degrade,Carrera 118/S Blue Grey T6M HD
carrera_118S_havane_marron,Carrera 118/S Havana Brown L2L/NR
carrera_118S_black_green,Carrera 118/S Black Green GUY/D5
